-30.0, 20.0
-28.5, 28.5
-24.3, 35.6
-17.6, 40.9
-9.3, 44.0
0.0, 45.0
9.3, 44.0
17.6, 40.9
24.3, 35.6
28.5, 28.5
30.0, 20.0
28.5, 11.5
24.3, 4.4
17.6, -0.9
9.3, -4.0
0.0, -5.0
-9.3, -4.0
-17.6, -0.9
-24.3, 4.4
-28.5, 11.5
-32.0, 22.0
-29.0, 31.0
-23.0, 38.0
-15.0, 43.0
-5.0, 45.0
5.0, 45.0
15.0, 43.0
23.0, 38.0
29.0, 31.0
32.0, 22.0
20.0, -20.0
21.5, -28.5
25.7, -35.6
32.4, -40.9
40.7, -44.0
50.0, -45.0
59.3, -44.0
67.6, -40.9
74.3, -35.6
78.5, -28.5
80.0, -20.0
78.5, -11.5
74.3, -4.4
67.6, 0.9
59.3, 4.0
50.0, 5.0
40.7, 4.0
32.4, 0.9
25.7, -4.4
21.5, -11.5
18.0, -22.0
21.0, -31.0
27.0, -38.0
35.0, -43.0
45.0, -45.0
55.0, -45.0
65.0, -43.0
73.0, -38.0
79.0, -31.0
82.0, -22.0
-35.0, 15.0
-20.0, 48.0
0.0, 50.0
20.0, 48.0
35.0, 15.0
15.0, -15.0
30.0, -48.0
50.0, -50.0
70.0, -48.0
85.0, -15.0
